"com.jerry.spottimett - Android-versio: Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin) ajalta 2019-07-08 - 2020-08-14"
,,Muuttuja,"Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin)",Muistiinpanot
,,Ulottuvuus,Kaikki Android-versiot
Kausi,Päivämäärä
2019-07-08 - 2020-08-14,2019-07-08,,-,Julkaisun käyttöönotto - 1.0 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-09,,-,Julkaisun käyttöönotto - 1.1 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-10,,5,Julkaisun käyttöönotto - 1.3 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-11,,-
2019-07-08 - 2020-08-14,2019-07-12,,27,Julkaisun käyttöönotto - 1.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-13,,4
2019-07-08 - 2020-08-14,2019-07-14,,1,Julkaisun käyttöönotto - 1.5 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-15,,7,Julkaisun käyttöönotto - 1.6 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-16,,6
2019-07-08 - 2020-08-14,2019-07-17,,4,Julkaisun käyttöönotto - 1.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-18,,9,Julkaisun käyttöönotto - 1.8 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-19,,21
2019-07-08 - 2020-08-14,2019-07-20,,7,Julkaisun käyttöönotto - 1.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-21,,12,Julkaisun käyttöönotto - 2.0 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-22,,10,Julkaisun käyttöönotto - 2.1 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-08-14,2019-07-23,,10
2019-07-08 - 2020-08-14,2019-07-24,,5
